;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Radiación;HR;Presion Baro
30-09-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01-10-2024 24:00;0;23,9;0;0;0;0;0;0;0;0;0;0;0;0;0
02-10-2024 24:00;0;24,5;0;0;0;0;0;0;0;0;0;0;0;0;0
03-10-2024 24:00;0;23,6;0;0;0;0;0;0;0;0;0;0;0;0;0
04-10-2024 24:00;0;21,9;0;0;0;0;0;0;0;0;0;0;0;0;0
05-10-2024 24:00;0;22,1;0;0;0;0;0;0;0;0;0;0;0;0;0
06-10-2024 24:00;0;11,2;0;0;0;0;0;0;0;0;0;0;0;0;0
07-10-2024 24:00;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
08-10-2024 24:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09-10-2024 24:00;0;17,9;0;0;0;0;0;0;0;0;0;0;0;0;0
10-10-2024 24:00;0;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0
11-10-2024 24:00;0;9,2;0;0;0;0;0;0;0;0;0;0;0;0;0
12-10-2024 24:00;10,5;5,7;0;2,6;0;22,3;0,3;6,7;9,1;15,7;0;16,9;0;51;565
13-10-2024 24:00;0;5,1;0;0,1;0;27,5;0,2;4,4;6;10,4;0;15,5;0;53;566
14-10-2024 24:00;7,9;5,8;0;0;0;27;0,2;4,6;6,7;11,3;0;15,8;0;54;566
15-10-2024 24:00;10,2;7;0;0;0;24,9;0,4;7,9;14,4;22,3;0;16,7;0;51;565
16-10-2024 24:00;22,6;11,5;0;10,6;0;15,7;0,8;22,3;22,8;45,1;0;16,4;0;61;565
17-10-2024 24:00;21,5;11,6;0;0;0;16,5;0,5;18,2;20;38,2;0;17,4;0;55;564
18-10-2024 24:00;24,7;13,2;0;0;0;17,6;0,5;16,3;21,2;37,5;0;17,2;0;55;564
19-10-2024 24:00;24,7;14,6;0;6;0;22,1;0,5;10;20,4;30,4;0;16,8;0;61;563
